site,upedonid,pedlabsampnum,pedon_key,labsampnum,hzn_top,hzn_bot,theta_r,theta_s,alpha,npar,w3cld,w15I2,ds_13b
2014,S1992OH097001,92P0724,19347,92P04398,69,89,0.055952853472338,0.38532218144173,-2.36434079273165,0.151416776042635,20.5,NULL,1.64
2014,S1992OH097001,92P0724,19347,92P04399,89,110,0.039642175121483,0.28859705453875,-1.5624768501766,0.081139181247426,11.8000002,NULL,1.95
2014,S1992OH097001,92P0724,19347,92P04400,110,155,0.04315967010759,0.336599567005654,-2.23678703137874,0.127833153340254,16.3999996,NULL,1.8099999
2014,S1992OH097001,92P0724,19347,92P04401,163,200,0.04269241222018,0.329225630734796,-2.07005724606953,0.099080070532186,16.2000008,NULL,1.85
2133,S2013UT029001,14N0335,70944,14N01752,0,14,0.06217,0.41797,-1.67937,0.10666,19.1000004,NULL,1.37
2133,S2013UT029001,14N0335,70944,14N01753,14,66,0.05043,0.3976,-2.13562,0.14396,20.2000008,NULL,1.42
2133,S2013UT029001,14N0335,70944,14N01754,66,94,0.02799,0.3948,-2.21205,0.16096,18.8999996,NULL,1.38
2041,S2000VT007001,00P1236,25911,00P07191,0,3,0.037317975146801,0.395678671956171,-1.82692979241775,0.164391200280715,225,NULL,0.21
2041,S2000VT007001,00P1236,25911,00P07192,3,8,0.067219571380339,0.583601108822277,-2.30212869486535,0.183787826766031,60.7999992,NULL,0.72
2041,S2000VT007001,00P1236,25911,00P07193,5,13,0.051867869775611,0.478446222708974,-2.41673676559079,0.208216116206777,34.2999992,NULL,1.0599999
